county_desc,race_code,DEM,GRE,LIB,NLB,REP,UNA
GREENE,W,506.0,0.0,5.0,1.0,714.0,752.0
GUILFORD,A,1008.0,0.0,16.0,4.0,796.0,1599.0
GUILFORD,B,34244.0,12.0,163.0,47.0,965.0,9982.0
GUILFORD,I,128.0,0.0,1.0,1.0,56.0,116.0
GUILFORD,M,421.0,1.0,9.0,0.0,68.0,365.0
GUILFORD,O,1993.0,6.0,39.0,11.0,692.0,2328.0
GUILFORD,P,4.0,0.0,1.0,1.0,0.0,4.0
GUILFORD,U,2705.0,1.0,68.0,9.0,1308.0,5994.0
GUILFORD,W,15230.0,12.0,428.0,25.0,26520.0,22762.0
HALIFAX,A,38.0,0.0,0.0,0.0,5.0,22.0
HALIFAX,B,4938.0,2.0,6.0,7.0,160.0,880.0
HALIFAX,I,263.0,0.0,0.0,0.0,10.0,63.0
HALIFAX,M,28.0,0.0,0.0,0.0,2.0,19.0
HALIFAX,O,58.0,0.0,0.0,0.0,5.0,59.0
HALIFAX,P,2.0,0.0,0.0,0.0,0.0,0.0
HALIFAX,U,210.0,0.0,3.0,0.0,96.0,396.0
HALIFAX,W,932.0,0.0,27.0,6.0,1504.0,2110.0
HARNETT,A,18.0,0.0,2.0,1.0,81.0,76.0
HARNETT,B,4314.0,3.0,34.0,10.0,229.0,979.0
HARNETT,I,38.0,0.0,1.0,0.0,33.0,56.0
HARNETT,M,51.0,0.0,5.0,0.0,50.0,79.0
HARNETT,O,373.0,5.0,11.0,4.0,359.0,696.0
HARNETT,P,0.0,0.0,0.0,0.0,3.0,3.0
HARNETT,U,866.0,0.0,30.0,1.0,900.0,1229.0
HARNETT,W,2454.0,5.0,183.0,32.0,7649.0,6151.0
HAYWOOD,A,12.0,0.0,1.0,0.0,13.0,29.0
HAYWOOD,B,140.0,1.0,1.0,0.0,7.0,45.0
HAYWOOD,I,8.0,0.0,1.0,0.0,22.0,13.0
HAYWOOD,M,8.0,0.0,0.0,0.0,4.0,20.0
HAYWOOD,O,45.0,1.0,3.0,0.0,41.0,106.0
HAYWOOD,U,153.0,0.0,2.0,1.0,200.0,356.0
HAYWOOD,W,4448.0,2.0,95.0,6.0,4667.0,5155.0
HENDERSON,A,42.0,0.0,3.0,0.0,44.0,86.0
HENDERSON,B,457.0,0.0,6.0,1.0,46.0,250.0
HENDERSON,I,10.0,0.0,0.0,0.0,8.0,19.0
HENDERSON,M,46.0,0.0,2.0,0.0,24.0,72.0
HENDERSON,O,199.0,2.0,12.0,2.0,138.0,495.0
HENDERSON,P,0.0,0.0,0.0,0.0,0.0,3.0
HENDERSON,U,440.0,0.0,15.0,1.0,477.0,1015.0
HENDERSON,W,4538.0,8.0,164.0,19.0,9628.0,12266.0
HERTFORD,A,4.0,0.0,0.0,0.0,1.0,3.0
HERTFORD,B,1778.0,0.0,7.0,2.0,58.0,310.0
HERTFORD,I,23.0,0.0,0.0,0.0,3.0,6.0
HERTFORD,M,13.0,0.0,0.0,0.0,2.0,2.0
HERTFORD,O,28.0,0.0,0.0,0.0,8.0,28.0
HERTFORD,U,71.0,0.0,1.0,0.0,31.0,180.0
HERTFORD,W,442.0,0.0,6.0,4.0,379.0,642.0
HOKE,A,25.0,0.0,1.0,0.0,34.0,34.0
HOKE,B,2905.0,2.0,10.0,5.0,140.0,932.0
HOKE,I,346.0,0.0,2.0,0.0,171.0,177.0
HOKE,M,27.0,0.0,1.0,0.0,12.0,38.0
HOKE,O,223.0,1.0,6.0,1.0,101.0,398.0
HOKE,P,2.0,0.0,0.0,0.0,5.0,0.0
HOKE,U,324.0,1.0,9.0,0.0,196.0,423.0
HOKE,W,682.0,2.0,33.0,3.0,1808.0,1842.0
HYDE,A,0.0,0.0,0.0,0.0,1.0,0.0
HYDE,B,164.0,0.0,0.0,0.0,4.0,18.0
HYDE,M,1.0,0.0,0.0,0.0,2.0,1.0
HYDE,O,5.0,0.0,0.0,0.0,2.0,6.0
HYDE,U,21.0,0.0,0.0,0.0,16.0,15.0
HYDE,W,362.0,0.0,3.0,0.0,170.0,225.0
IREDELL,A,124.0,0.0,3.0,1.0,130.0,272.0
IREDELL,B,3157.0,0.0,16.0,9.0,161.0,1368.0
IREDELL,I,12.0,0.0,0.0,0.0,26.0,34.0
IREDELL,M,54.0,0.0,0.0,0.0,31.0,64.0
IREDELL,O,396.0,2.0,15.0,8.0,300.0,708.0
IREDELL,P,1.0,0.0,1.0,0.0,0.0,0.0
IREDELL,U,616.0,0.0,35.0,4.0,998.0,1424.0
IREDELL,W,4828.0,8.0,264.0,26.0,17023.0,14378.0
JACKSON,A,19.0,0.0,0.0,0.0,20.0,46.0
JACKSON,B,127.0,0.0,3.0,0.0,14.0,60.0
JACKSON,I,227.0,0.0,8.0,0.0,61.0,228.0
JACKSON,M,20.0,0.0,4.0,0.0,7.0,48.0
JACKSON,O,46.0,0.0,3.0,0.0,33.0,123.0
JACKSON,P,0.0,0.0,0.0,0.0,0.0,1.0
JACKSON,U,142.0,0.0,2.0,1.0,173.0,242.0
JACKSON,W,2129.0,3.0,53.0,1.0,2600.0,3521.0
JOHNSTON,A,65.0,0.0,2.0,5.0,82.0,176.0
JOHNSTON,B,6272.0,4.0,28.0,18.0,259.0,2002.0
JOHNSTON,I,36.0,0.0,1.0,0.0,52.0,64.0
JOHNSTON,M,97.0,0.0,2.0,0.0,39.0,85.0
JOHNSTON,O,726.0,2.0,15.0,16.0,416.0,959.0
JOHNSTON,P,4.0,0.0,0.0,0.0,2.0,1.0
JOHNSTON,U,1283.0,2.0,68.0,2.0,1371.0,3021.0
JOHNSTON,W,5816.0,5.0,352.0,50.0,15231.0,13748.0
JONES,A,0.0,0.0,0.0,0.0,3.0,1.0
JONES,B,677.0,0.0,1.0,0.0,15.0,117.0
JONES,I,0.0,0.0,0.0,0.0,2.0,1.0
JONES,M,2.0,0.0,0.0,0.0,2.0,5.0
JONES,O,10.0,0.0,0.0,0.0,7.0,15.0
JONES,U,43.0,0.0,3.0,0.0,42.0,76.0
JONES,W,156.0,0.0,7.0,0.0,870.0,529.0
LEE,A,26.0,0.0,1.0,0.0,31.0,29.0
LEE,B,1968.0,2.0,8.0,1.0,75.0,551.0
LEE,I,14.0,0.0,0.0,0.0,15.0,24.0
LEE,M,40.0,0.0,1.0,0.0,13.0,39.0
LEE,O,239.0,1.0,9.0,3.0,146.0,440.0
LEE,P,3.0,0.0,0.0,0.0,1.0,0.0
LEE,U,338.0,0.0,10.0,2.0,203.0,545.0
LEE,W,1290.0,0.0,57.0,6.0,3689.0,2752.0
LENOIR,A,9.0,0.0,0.0,0.0,6.0,11.0
LENOIR,B,4344.0,4.0,7.0,23.0,125.0,944.0
LENOIR,I,8.0,0.0,0.0,0.0,11.0,6.0
LENOIR,M,28.0,0.0,0.0,0.0,5.0,17.0
LENOIR,O,114.0,1.0,1.0,1.0,40.0,143.0
LENOIR,P,2.0,0.0,0.0,0.0,0.0,2.0
LENOIR,U,241.0,0.0,7.0,0.0,216.0,739.0
LENOIR,W,880.0,0.0,27.0,9.0,3504.0,1580.0
LINCOLN,A,17.0,0.0,0.0,0.0,38.0,52.0
LINCOLN,B,1054.0,1.0,6.0,3.0,54.0,304.0
LINCOLN,I,6.0,0.0,0.0,0.0,16.0,8.0
